Date,Close,High,Low,Open,Volume,DailySentiment,SentimentCount,SentimentVolatility,SMA_5,SMA_10,SMA_20,SMA_50,EMA_12,EMA_26,MACD,MACD_Signal,RSI,BB_Mid,BB_Up,BB_Low,DailyReturn,Volatility20,Close_Lag_1,Return_Lag_1,RSI_Lag_1,Close_Lag_2,Return_Lag_2,RSI_Lag_2,Close_Lag_3,Return_Lag_3,RSI_Lag_3,Close_Lag_5,Return_Lag_5,RSI_Lag_5,NextClose,ReturnNext,Movement,SentimentMA_3,SentimentMA_7,Volume_MA_10,Volume_Ratio,HL_Ratio,Price_Range,Volume_Lag_1,Volume_Lag_2,Volume_Lag_3,Volume_Lag_5
2023-03-15,3068.816162109375,3127.7674760912882,3062.1968453205122,3117.8382666953835,1780522,0.0,0,0.0,3068.816162109375,3068.816162109375,3068.816162109375,3068.816162109375,3068.816162109375,3068.816162109375,0.0,0.0,0.0,3068.816162109375,3068.816162109375,3068.816162109375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3055.480712890625,-0.004345470212065024,Neutral,0.0,0.0,1780522.0,1.0,0.021366750990292463,65.570630770776,0.0,0.0,0.0,0.0
2023-03-16,3055.480712890625,3088.8656039430543,3043.009363042092,3077.5454087764915,1901060,0.0,0,0.0,3062.1484375,3062.1484375,3062.1484375,3062.1484375,3066.7645545372598,3067.828351056134,-1.0637965188743692,-0.21275930377487384,0.0,3062.1484375,3081.007610645494,3043.289264354506,-0.004345470212064995,0.0030727114543953023,3068.816162109375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3050.012939453125,-0.0017894969568723721,Neutral,0.0,0.0,1840791.0,1.032740816312118,0.01500786462421497,45.85624090096235,1780522.0,0.0,0.0,0.0
2023-03-17,3050.012939453125,3090.400790866856,3016.148376802364,3022.384052517763,6739966,0.0,0,0.0,3058.103271484375,3058.103271484375,3058.103271484375,3058.103271484375,3064.187382985854,3066.5086909373927,-2.321307951538529,-0.6344690333276048,0.0,3058.103271484375,3077.4473822934424,3038.7591606753076,-0.0017894969568723607,0.002183972298506388,3055.480712890625,-0.004345470212064995,0.0,3068.816162109375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3015.4765625,-0.011323354241020846,Down,0.0,0.0,3473849.3333333335,1.9402010142830988,0.024344950509556037,74.25241406449186,1901060.0,1780522.0,0.0,0.0
2023-03-20,3015.4765625,3040.754889248125,2969.188667014213,3040.754889248125,2289468,0.0,0,0.0,3047.4465942382812,3047.4465942382812,3047.4465942382812,3047.4465942382812,3056.693410603415,3062.7285332753636,-6.035122671948557,-1.7145997610517953,0.0,3047.4465942382812,3092.905360178793,3001.9878282977693,-0.011323354241020822,0.004970094411473919,3050.012939453125,-0.0017894969568723607,0.0,3055.480712890625,-0.004345470212064995,0.0,3068.816162109375,0.0,0.0,0.0,0.0,0.0,2979.78955078125,-0.011834617507079363,Down,0.0,0.0,3177754.0,0.7204673489514921,0.02373297246740314,71.56622223391196,6739966.0,1901060.0,1780522.0,0.0
2023-03-21,2979.78955078125,3028.379758761308,2971.491165250688,3015.4767541251367,1815297,0.0,0,0.0,3033.915185546875,3033.915185546875,3033.915185546875,3033.915185546875,3044.862047553851,3056.5849049424664,-11.722857388615466,-3.7162512865645296,0.0,3033.915185546875,3106.1083637156116,2961.722007378138,-0.01183461750707937,0.005448547500243869,3015.4765625,-0.011323354241020822,0.0,3050.012939453125,-0.0017894969568723607,0.0,3055.480712890625,-0.004345470212064995,0.0,0.0,0.0,0.0,3003.48486328125,0.007952008722826582,Neutral,0.0,0.0,2905262.6,0.6248306091160227,0.019091480301253086,56.88859351062001,2289468.0,6739966.0,1901060.0,0.0
2023-03-22,3003.48486328125,3015.668366064641,2979.789345103307,3002.7653623190904,1123939,0.0,0,0.0,3020.84892578125,3028.843465169271,3028.843465169271,3028.843465169271,3038.4963268965275,3052.651568523117,-14.155241626589486,-5.804049354569521,21.021032728406865,3028.843465169271,3098.0303159532814,2959.6566143852606,0.007952008722826642,0.007452388780312801,2979.78955078125,-0.01183461750707937,0.0,3015.4765625,-0.011323354241020822,0.0,3050.012939453125,-0.0017894969568723607,0.0,3068.816162109375,0.0,0.0,2997.585205078125,-0.0019642709957524928,Neutral,0.0,0.0,2608375.3333333335,0.4308961925980489,0.011945797163810837,35.879020961333936,1815297.0,2289468.0,6739966.0,1780522.0
2023-03-23,2997.585205078125,3018.4029563299578,2974.8970321362567,2988.231691352447,1372218,0.0,0,0.0,3009.26982421875,3024.377999441964,3024.377999441964,3024.377999441964,3032.2023081552347,3048.5725786383027,-16.370270483067998,-7.917293580269217,19.97554921646352,3024.377999441964,3091.8120241701117,2956.9439747138167,-0.0019642709957524707,0.006829646081445533,3003.48486328125,0.007952008722826642,21.021032728406865,2979.78955078125,-0.01183461750707937,0.0,3015.4765625,-0.011323354241020822,0.0,3055.480712890625,-0.004345470212064995,0.0,2993.604248046875,-0.001328054670307944,Neutral,0.0,0.0,2431781.4285714286,0.5642850890616932,0.01451365723316184,43.50592419370105,1123939.0,1815297.0,2289468.0,1901060.0
2023-03-24,2993.604248046875,3041.0913207205876,2979.6938934252826,3020.8492627241276,1329577,0.0,0,0.0,2997.9880859375,3020.531280517578,3020.531280517578,3020.531280517578,3026.264145061641,3044.500850446345,-18.236705384703782,-9.981175941156131,19.326934565295318,3020.531280517578,3086.6466227596047,2954.4159382755515,-0.0013280546703079432,0.006362488329760912,2997.585205078125,-0.0019642709957524707,19.97554921646352,3003.48486328125,0.007952008722826642,21.021032728406865,2979.78955078125,-0.01183461750707937,0.0,3050.012939453125,-0.0017894969568723607,0.0,2995.330810546875,0.0005767504175364749,Neutral,0.0,0.0,2294005.875,0.5795874432971974,0.020509533728569087,61.39742729530508,1372218.0,1123939.0,1815297.0,6739966.0
2023-03-27,2995.330810546875,3024.5425056109025,2979.6936079382963,3007.514314515956,1524217,0.0,0,0.0,2993.958935546875,3017.7312282986113,3017.7312282986113,3017.7312282986113,3021.505170520908,3040.8586252686064,-19.35345474769838,-11.855631702464581,20.44724419344449,3017.7312282986113,3081.817765084817,2953.6446915124056,0.0005767504175364646,0.006075045163712748,2993.604248046875,-0.0013280546703079432,19.326934565295318,2997.585205078125,-0.0019642709957524707,19.97554921646352,3003.48486328125,0.007952008722826642,21.021032728406865,3015.4765625,-0.011323354241020822,0.0,2989.19091796875,-0.0020498211938747442,Neutral,0.0,0.0,2208473.777777778,0.6901675787763736,0.0149729363830828,44.8488976726062,1329577.0,1372218.0,1123939.0,2289468.0
2023-03-28,2989.19091796875,3021.472671366461,2983.674743406983,2999.839626894756,1303530,0.0,0,0.0,2995.839208984375,3014.877197265625,3014.877197265625,3014.877197265625,3016.533747051345,3037.031387690839,-20.497640639493966,-13.584033489870459,19.48499347867987,3014.877197265625,3077.93717850695,2951.8172160243,-0.002049821193874757,0.0057309960830397915,2995.330810546875,0.0005767504175364646,20.44724419344449,2993.604248046875,-0.0013280546703079432,19.326934565295318,2997.585205078125,-0.0019642709957524707,19.97554921646352,2979.78955078125,-0.01183461750707937,0.0,3011.255615234375,0.007381494816202192,Neutral,0.0,0.0,2117979.4,0.6154592438434482,0.012644869129056088,37.797927959477875,1524217.0,1329577.0,1372218.0,1815297.0
2023-03-29,3011.255615234375,3021.90432415691,2977.8709548327965,3001.7582953291976,1740616,0.0,0,0.0,2997.393359375,3009.121142578125,3014.5479625355115,3014.5479625355115,3015.721726771811,3035.1220712125823,-19.400344440771278,-14.747295680050623,31.131858035974375,3014.5479625355115,3074.4117622233966,2954.6841628476263,0.007381494816202094,0.00621582541144798,2989.19091796875,-0.002049821193874757,19.48499347867987,2995.330810546875,0.0005767504175364646,20.44724419344449,2993.604248046875,-0.0013280546703079432,19.326934565295318,3003.48486328125,0.007952008722826642,21.021032728406865,3075.531005859375,0.021345046332108625,Up,0.0,0.0,2113988.8,0.8233799535740209,0.014622926430204903,44.033369324113664,1303530.0,1524217.0,1329577.0,1123939.0
