Date,Close,High,Low,Open,Volume,DailySentiment,SentimentCount,SentimentVolatility,SentimentMA_3,SentimentMA_7,SMA_5,SMA_10,SMA_20,SMA_50,EMA_12,EMA_26,MACD,MACD_Signal,RSI,BB_Mid,BB_Up,BB_Low,DailyReturn,Volatility20,Volume_MA_10,Volume_Ratio,HL_Ratio,Price_Range,Close_Lag_1,Return_Lag_1,RSI_Lag_1,Volume_Lag_1,Close_Lag_2,Return_Lag_2,RSI_Lag_2,Volume_Lag_2,Close_Lag_3,Return_Lag_3,RSI_Lag_3,Volume_Lag_3,Close_Lag_5,Return_Lag_5,RSI_Lag_5,Volume_Lag_5,NextClose,ReturnNext,Movement
2023-03-15,8228.3212890625,8451.628075871835,8194.388176829487,8398.27698217714,509229,0.0,0,0.0,0.0,0.0,8228.3212890625,8228.3212890625,8228.3212890625,8228.3212890625,8228.3212890625,8228.3212890625,0.0,0.0,0.0,8228.3212890625,8228.3212890625,8228.3212890625,0.0,0.0,509229.0,1.0,0.031262743639372016,257.23989904234804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8191.9130859375,-0.004424742525962814,Neutral
2023-03-16,8191.9130859375,8285.071047452391,8166.232614220292,8213.903382431397,340261,0.0,0,0.0,0.0,0.0,8210.1171875,8210.1171875,8210.1171875,8210.1171875,8222.72002704327,8225.624385127314,-2.904358084044361,-0.5808716168088722,0.0,8210.1171875,8261.60616214101,8158.62821285899,-0.00442474252596281,0.0031287654451127964,424745.0,0.8010947745117659,0.01450679859337145,118.8384332320993,8228.3212890625,0.0,0.0,509229.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8074.8212890625,-0.014293583885308003,Down
2023-03-17,8074.8212890625,8263.273361320833,8052.199531094249,8255.554524336068,471602,0.0,0,0.0,0.0,0.0,8165.0185546875,8165.0185546875,8165.0185546875,8165.0185546875,8199.966375046228,8214.45378541881,-14.487410372581508,-3.3621793679633996,0.0,8165.0185546875,8325.431139709597,8004.605969665403,-0.014293583885307992,0.007317546452230672,440364.0,1.0709367704898676,0.026139752530806738,211.0738302265836,8191.9130859375,-0.00442474252596281,0.0,340261.0,8228.3212890625,0.0,0.0,509229.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7980.40185546875,-0.011693067897569812,Down
2023-03-20,7980.40185546875,8074.82179285343,7893.409675449425,8074.82179285343,488199,0.0,0,0.0,0.0,0.0,8118.8643798828125,8118.8643798828125,8118.8643798828125,8118.8643798828125,8166.1872181881545,8197.116605422509,-30.92938723435418,-8.875620941241557,0.0,8118.8643798828125,8345.222776942448,7892.505982823177,-0.011693067897569853,0.006567584477635399,452322.75,1.0793155993148698,0.022732203301227098,181.41211740400558,8074.8212890625,-0.014293583885307992,0.0,471602.0,8191.9130859375,-0.00442474252596281,0.0,340261.0,8228.3212890625,0.0,0.0,509229.0,0.0,0.0,0.0,0.0,7988.9462890625,0.001070677109811799,Neutral
2023-03-21,7988.9462890625,8034.189806479607,7975.935862263441,8005.062834371523,287497,0.0,0,0.0,0.0,0.0,8092.88076171875,8092.88076171875,8092.88076171875,8092.88076171875,8138.919382938054,8181.6965819884335,-42.77719905037975,-15.655936563069197,3.3316325170684564,8092.88076171875,8320.76573532928,7864.995788108221,0.0010706771098119017,0.006884466861845177,419357.6,0.6855652550472437,0.007291818233390839,58.25394421616602,7980.40185546875,-0.011693067897569853,0.0,488199.0,8074.8212890625,-0.014293583885307992,0.0,471602.0,8191.9130859375,-0.00442474252596281,0.0,340261.0,0.0,0.0,0.0,0.0,8012.248046875,0.0029167498402639094,Neutral
2023-03-22,8012.248046875,8048.364734586075,7977.877839757324,7996.324922507159,218120,0.0,0,0.0,0.0,0.0,8049.66611328125,8079.441975911458,8079.441975911458,8079.441975911458,8119.431485082199,8169.144838646697,-49.71335356449799,-22.467419963354956,11.383168109466624,8079.441975911458,8293.637382242592,7865.246569580324,0.0029167498402637992,0.007125945469515655,385818.0,0.5653442815006039,0.008797392993373825,70.48689482875125,7988.9462890625,0.0010706771098119017,3.3316325170684564,287497.0,7980.40185546875,-0.011693067897569853,0.0,488199.0,8074.8212890625,-0.014293583885307992,0.0,471602.0,8228.3212890625,0.0,0.0,509229.0,8110.11474609375,0.012214636721952304,Up
2023-03-23,8110.11474609375,8131.280157352213,7993.023742941674,8023.510354669694,540553,0.0,0,0.0,0.0,0.0,8033.3064453125,8083.823800223215,8083.823800223215,8083.823800223215,8117.998140622438,8164.772239198331,-46.77409857589282,-27.32875568586253,34.34899035546056,8083.823800223215,8280.7264940549,7886.921106391529,0.012214636721952221,0.009042679087421401,407923.0,1.325134890653383,0.01704740546083278,138.25641441053904,8012.248046875,0.0029167498402637992,11.383168109466624,218120.0,7988.9462890625,0.0010706771098119017,3.3316325170684564,287497.0,7980.40185546875,-0.011693067897569853,0.0,488199.0,8191.9130859375,-0.00442474252596281,0.0,340261.0,8003.0244140625,-0.013204539687040832,Down
2023-03-24,8003.0244140625,8142.445142837172,7972.0523541210305,8110.114393068477,391840,0.0,0,0.0,0.0,0.0,8018.9470703125,8073.723876953125,8073.723876953125,8073.723876953125,8100.309874997832,8152.790918817898,-52.48104382006659,-32.359213312703346,26.76022854564063,8073.723876953125,8264.76385700325,7882.683896903,-0.013204539687040828,0.009257303568364668,405912.625,0.9653309009543618,0.02129104947083959,170.3927887161417,8110.11474609375,0.012214636721952221,34.34899035546056,540553.0,8012.248046875,0.0029167498402637992,11.383168109466624,218120.0,7988.9462890625,0.0010706771098119017,3.3316325170684564,287497.0,8074.8212890625,-0.014293583885307992,0.0,471602.0,8037.4423828125,0.004300620236709828,Neutral
2023-03-27,8037.4423828125,8074.773643753948,7990.062695196493,8009.917771908322,364326,0.0,0,0.0,0.0,0.0,8030.35517578125,8069.692599826389,8069.692599826389,8069.692599826389,8090.637953123165,8144.246582817498,-53.6086296943331,-36.6090965890293,31.615876598946585,8069.692599826389,8250.023636423448,7889.3615632293295,0.00430062023670974,0.009034385833191874,401291.8888888889,0.9078827907754594,0.010539540381477948,84.71094855745469,8003.0244140625,-0.013204539687040828,26.76022854564063,391840.0,8110.11474609375,0.012214636721952221,34.34899035546056,540553.0,8012.248046875,0.0029167498402637992,11.383168109466624,218120.0,7980.40185546875,-0.011693067897569853,0.0,488199.0,7969.916015625,-0.00840147449540669,Neutral
2023-03-28,7969.916015625,8112.443808031562,7903.118349912935,8064.190883255215,360349,0.0,0,0.0,0.0,0.0,8026.54912109375,8059.71494140625,8059.71494140625,8059.71494140625,8072.065347354217,8131.333207469906,-59.26786011568856,-41.14084929436115,27.97683550646113,8059.71494140625,8241.065915547857,7878.363967264643,-0.008401474495406736,0.008715159479834856,397197.6,0.9072285431734735,0.026264449676539306,209.32545811862747,8037.4423828125,0.00430062023670974,31.615876598946585,364326.0,8003.0244140625,-0.013204539687040828,26.76022854564063,391840.0,8110.11474609375,0.012214636721952221,34.34899035546056,540553.0,7988.9462890625,0.0010706771098119017,3.3316325170684564,287497.0,8053.89892578125,0.01053748998002008,Up
