Date,Open,High,Low,Close,Volume,SMA_5,SMA_10,EMA_12,EMA_26,MACD,MACD_Signal,RSI,Daily_Return,Volatility,Close_Lag_1,Return_Lag_1,Close_Lag_2,Return_Lag_2,Close_Lag_3,Return_Lag_3,Close_Lag_5,Return_Lag_5,DailySentiment,SentimentCount,Future_Close,Future_Return,Movement
2023-01-02,300.348802092363,303.16259217046496,299.21421155280285,302.1187744140625,5951893,,,302.1187744140625,302.1187744140625,0.0,0.0,,,,,,,,,,,,0.0,0,300.5303649902344,-0.005257566091047238,Neutral
2023-01-03,300.89342844383856,302.5726280792197,299.7588378388467,300.5303649902344,5997051,,,301.2583859761555,301.2940233670748,-0.035637390919248446,-0.01979855051069358,,-0.005257566091047217,,302.1187744140625,,,,,,,,0.0,0,296.808837890625,-0.012383198282577218,Neutral
2023-01-04,301.2110540231843,301.8010354698251,295.9011656034977,296.808837890625,6689769,,,299.5217263307637,299.6825397730226,-0.1608134422588705,-0.07759153893207756,,-0.012383198282577168,,300.5303649902344,-0.005257566091047217,302.1187744140625,,,,,,0.0,0,302.6633605957031,0.019724893458986335,Neutral
2023-01-05,298.3065166322696,303.0717965391748,297.89808068879796,302.6633605957031,8171437,,,300.5134174916936,300.51584701442727,-0.0024295227336779135,-0.05213015133099367,,0.019724893458986426,,296.808837890625,-0.012383198282577168,300.5303649902344,-0.005257566091047217,302.1187744140625,,,,0.0,0,304.1156005859375,0.004798202158913688,Neutral
2023-01-06,303.7979374330185,306.38478139227925,302.34565617696757,304.1156005859375,8284135,301.2473876953125,,301.4921177642813,301.35064471520025,0.14147304908107117,0.005462423755889006,,0.004798202158913689,,302.6633605957031,0.019724893458986426,296.808837890625,-0.012383198282577168,300.5303649902344,-0.005257566091047217,,,0.0,0,306.838623046875,0.008953905868988867,Neutral
2023-01-09,305.8402056341788,309.78855814793195,305.1140511431725,306.838623046875,10618786,302.191357421875,,302.79159982654926,302.4498430044897,0.34175682205955127,0.09661690330302618,,0.00895390586898892,,304.1156005859375,0.004798202158913689,302.6633605957031,0.019724893458986426,296.808837890625,-0.012383198282577168,302.1187744140625,,0.0,0,302.6179504394531,-0.013755349849738743,Neutral
2023-01-10,306.70247594007554,307.15631210681136,301.84642341601,302.6179504394531,6949605,302.60887451171874,,302.75285057337163,302.4797400403521,0.27311053301951915,0.14128273256267865,,-0.013755349849738696,,306.838623046875,0.00895390586898892,304.1156005859375,0.004798202158913689,302.6633605957031,0.019724893458986426,300.5303649902344,-0.005257566091047217,0.0,0,301.1656799316406,-0.004799023011369796,Neutral
2023-01-11,304.16101535914777,304.16101535914777,300.7118437486816,301.1656799316406,4584293,303.48024291992186,,302.4216325236719,302.2680123966292,0.1536201270427,0.1442476404609824,,-0.004799023011369807,,302.6179504394531,-0.013755349849738696,306.838623046875,0.00895390586898892,304.1156005859375,0.004798202158913689,296.808837890625,-0.012383198282577168,0.0,0,299.395751953125,-0.005876924551686527,Neutral
2023-01-12,302.6179779498914,302.7995235130742,297.8073252251487,299.395751953125,6638422,302.82672119140625,,301.823005646729,301.8422803443492,-0.019274697620232928,0.10647316912571919,,-0.005876924551686535,,301.1656799316406,-0.004799023011369807,302.6179504394531,-0.013755349849738696,306.838623046875,0.00895390586898892,302.6633605957031,0.019724893458986426,0.0,0,298.39727783203125,-0.0033349642223717206,Neutral
2023-01-13,299.39572293283027,301.57413098005287,296.2642423212245,298.39727783203125,14412671,301.683056640625,301.46522216796876,301.1738315572337,301.3669035267836,-0.1930719695498624,0.0393576694909523,,-0.0033349642223716724,,299.395751953125,-0.005876924551686535,301.1656799316406,-0.004799023011369807,302.6179504394531,-0.013755349849738696,304.1156005859375,0.004798202158913689,0.0,0,299.71337890625,0.004410566623733033,Neutral
