Date,Open,High,Low,Close,Volume,SMA_5,SMA_10,EMA_12,EMA_26,MACD,MACD_Signal,RSI,Daily_Return,Volatility,Close_Lag_1,Return_Lag_1,Close_Lag_2,Return_Lag_2,Close_Lag_3,Return_Lag_3,Close_Lag_5,Return_Lag_5,DailySentiment,SentimentCount,Future_Close,Future_Return,Movement
2023-01-02,143.77257939471124,144.40918053766185,142.73390002098364,144.10763549804688,5959394,,,144.10763549804688,144.10763549804688,0.0,0.0,,,,,,,,,,,,0.0,0,144.47621154785156,0.0025576441423860773,Neutral
2023-01-03,144.2416749656583,144.87827620782144,143.63857115896855,144.47621154785156,2873110,,,144.30728085835773,144.29901152390698,0.008269334450744736,0.004594074694858187,,0.0025576441423860174,,144.10763549804688,,,,,,,,0.0,0,141.4271697998047,-0.02110410921895616,Down
2023-01-04,144.34215482438802,144.34215482438802,141.0586026767166,141.4271697998047,9954542,,,143.18317284705182,143.2671866757697,-0.08401382871787177,-0.031720639818555725,,-0.021104109218956113,,144.47621154785156,0.0025576441423860174,144.10763549804688,,,,,,0.0,0,139.91943359375,-0.010660866707500001,Neutral
2023-01-05,141.99677869864232,141.99677869864232,138.44517856544718,139.91943359375,21273509,,,142.15293791321503,142.33130120943923,-0.17836329622420521,-0.08139633643293562,,-0.010660866707499994,,141.4271697998047,-0.021104109218956113,144.47621154785156,0.0025576441423860174,144.10763549804688,,,,0.0,0,139.4503631591797,-0.003352432342831219,Neutral
2023-01-06,139.4838742266678,140.92461835967893,139.08180958415682,139.4503631591797,11510471,141.87616271972655,,141.4186580114827,141.66319979287007,-0.24454178138736893,-0.1299284178686904,,-0.003352432342831224,,139.91943359375,-0.010660866707499994,141.4271697998047,-0.021104109218956113,144.47621154785156,0.0025576441423860174,,,0.0,0,140.12045288085938,0.004805220341483041,Neutral
2023-01-09,140.1874613715775,142.03026985039514,136.87041156309257,140.12045288085938,52485126,141.07872619628907,,141.10312586642308,141.3541998909023,-0.2510740244792089,-0.16276561282557045,,0.0048052203414830075,,139.4503631591797,-0.003352432342831224,139.91943359375,-0.010660866707499994,141.4271697998047,-0.021104109218956113,144.10763549804688,,0.0,0,141.9297637939453,0.012912539717698068,Neutral
2023-01-10,140.65654793766237,142.36532579992598,140.05344425484762,141.9297637939453,17248326,140.5694366455078,,141.28758722776428,141.45656094741432,-0.16897371965004027,-0.16433671904562425,,0.012912539717698124,,140.12045288085938,0.0048052203414830075,139.4503631591797,-0.003352432342831224,139.91943359375,-0.010660866707499994,144.47621154785156,0.0025576441423860174,0.0,0,142.0302734375,0.0007081646644646584,Neutral
2023-01-11,142.19780148525996,142.76740775441775,140.79056861076984,142.0302734375,9164361,140.69005737304687,,141.44257439263473,141.5490002452021,-0.10642585256738357,-0.15041964881681752,,0.0007081646644646611,,141.9297637939453,0.012912539717698124,140.12045288085938,0.0048052203414830075,139.4503631591797,-0.003352432342831224,141.4271697998047,-0.021104109218956113,0.0,0,143.06893920898438,0.007312988606907363,Neutral
2023-01-12,143.10245026874296,143.33698678665462,141.66170646804824,143.06893920898438,21179555,141.31995849609376,,141.76432724046947,141.774288566759,-0.009961326289527506,-0.11797307949568224,,0.0073129886069074335,,142.0302734375,0.0007081646644646611,141.9297637939453,0.012912539717698124,140.12045288085938,0.0048052203414830075,139.91943359375,-0.010660866707499994,0.0,0,143.4040069580078,0.0023420020507316105,Neutral
2023-01-13,143.13595935849565,144.3086556770775,142.93493388396197,143.4040069580078,6560245,142.11068725585938,141.99342498779296,142.07504590969066,141.99917384321088,0.07587206647977496,-0.07454051410189878,,0.002342002050731651,,143.06893920898438,0.0073129886069074335,142.0302734375,0.0007081646644646611,141.9297637939453,0.012912539717698124,139.4503631591797,-0.003352432342831224,0.0,0,144.50970458984375,0.007710367759526502,Neutral
